"";"coll";"coll_tag";"animal";"coll_tag_simple"
"192";"tom";"np1";"cat";"noun"
"193";"guide";"nn1";"dog";"noun"
"194";"tom";"nn1";"cat";"noun"
"195";"guide";"nn1";"dog";"noun"
"196";"guide";"nn1";"dog";"noun"
"197";"guide";"nn1";"dog";"noun"
"198";"lap";"nn1";"dog";"noun"
"199";"because";"cs";"cat";NA
"200";"tortoiseshell";"nn1";"cat";"noun"
"201";"dangerous";"jj";"dog";"adjective"
"202";"ginger";"jj";"cat";"adjective"
"203";"has";"vhz";"dog";"verb"
"204";"siamese";"jj";"cat";"adjective"
"205";"guide";"vv0";"dog";"verb"
"206";"playing";"vvg";"cat";"verb"
"207";"tom";"nn1";"cat";"noun"
"208";"barking";"jj";"dog";"adjective"
"209";"tortoiseshell";"nn1";"cat";"noun"
"210";"siamese";"jj";"cat";"adjective"
"211";"lap";"nn1";"dog";"noun"
"212";"guide";"vv0";"dog";"verb"
"213";"mad";"jj";"dog";"adjective"
"214";"best";"jjt";"dog";"adjective"
"215";"guide";"nn1";"dog";"noun"
"216";"lap";"nn1";"dog";"noun"
"217";"mad";"jj";"dog";"adjective"
"218";"barking";"jj";"dog";"adjective"
"219";"tom";"np1";"cat";"noun"
"220";"mad";"jj";"dog";"adjective"
"221";"playing";"vvg";"cat";"verb"
"222";"guide";"nn1";"dog";"noun"
"223";"guide";"nn1";"dog";"noun"
"224";"barking";"jj";"dog";"adjective"
"225";"siamese";"jj";"cat";"adjective"
"226";"guide";"vv0";"dog";"verb"
"227";"guide";"nn1";"dog";"noun"
"228";"mad";"jj";"dog";"adjective"
"229";"lap";"nn1";"dog";"noun"
"230";"guide";"vv0";"dog";"verb"
"231";"best";"jjt";"dog";"adjective"
"232";"mad";"jj";"dog";"adjective"
"233";"ginger";"jj";"cat";"adjective"
"234";"guide";"nn1";"dog";"noun"
"235";"tom";"np1";"cat";"noun"
"236";"lap";"nn1";"dog";"noun"
"237";"tortoiseshell";"nn1";"cat";"noun"
"238";"guide";"nn1";"dog";"noun"
"239";"mad";"jj";"dog";"adjective"
"240";"guide";"nn1";"dog";"noun"
"241";"tortoiseshell";"nn1";"cat";"noun"
"242";"siamese";"jj";"cat";"adjective"
"243";"guide";"nn1";"dog";"noun"
"244";"siamese";"jj";"cat";"adjective"
"245";"tom";"np1";"cat";"noun"
"246";"guide";"vv0";"dog";"verb"
"247";"mad";"jj";"dog";"adjective"
"248";"ginger";"jj";"cat";"adjective"
"249";"guide";"nn1";"dog";"noun"
"250";"contented";"jj";"cat";"adjective"
"251";"mad";"jj";"dog";"adjective"
"252";"purring";"jj";"cat";"adjective"
"253";"has";"vhz";"dog";"verb"
"254";"because";"cs";"cat";NA
"255";"lap";"nn1";"dog";"noun"
"256";"mad";"jj";"dog";"adjective"
"257";"lap";"nn1";"dog";"noun"
"258";"lap";"nn1";"dog";"noun"
"259";"mad";"jj";"dog";"adjective"
"260";"guide";"nn1";"dog";"noun"
"261";"siamese";"jj";"cat";"adjective"
"262";"guide";"nn1";"dog";"noun"
"263";"mad";"jj";"dog";"adjective"
